Neighborhood,N,Cafes,Restaurants,Bars,Nightclubs
Airport,1,800.0974268,736.4786898,836.0646213,800.0974268
Allerton-Pelham Gardens,1,1000,754.4130225,829.928353,1000
Annadale-Huguenot-Prince's Bay-Eltingville,1,995.1116554,702.0253561,918.1111694,995.1116554
Arden Heights,1,999.6008087,971.8871889,998.8428461,999.6008087
Astoria,1,336.7907914,176.5557687,282.8790771,336.7907914
Auburndale,1,860.5670321,585.3484756,999.5788423,860.5670321
Baisley Park,1,1000,582.0314299,1000,1000
Bath Beach,1,728.6877408,826.5214036,1000,728.6877408
Battery Park City-Lower Manhattan,1,278.1053401,220.307569,362.4202822,278.1053401
Bay Ridge,1,683.0499746,593.1967586,763.308578,683.0499746
Bayside-Bayside Hills,1,658.3412001,392.0804727,853.7343851,658.3412001
Bedford,1,367.9611743,322.7648699,506.3687294,367.9611743
Bedford Park-Fordham North,1,944.8921053,480.702447,991.6442611,944.8921053
Bellerose,1,934.8806288,777.8824185,1000,934.8806288
Belmont,1,818.209573,543.5027541,605.0628274,818.209573
Bensonhurst East,1,592.2079038,398.8604851,1000,592.2079038
Bensonhurst West,1,448.4202662,510.1600684,1000,448.4202662
Borough Park,1,605.9024888,597.207427,959.0344544,605.9024888
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1,969.3212304,765.6096342,910.9914783,969.3212304
Briarwood-Jamaica Hills,1,748.9878892,502.2664239,649.5900024,748.9878892
Brighton Beach,1,510.8406056,389.5853087,999.912284,510.8406056
Bronxdale,1,1000,443.901641,974.7581032,1000
Brooklyn Heights-Cobble Hill,1,191.3827794,228.4098199,314.9457782,191.3827794
Brownsville,1,698.3330385,940.7144371,1000,698.3330385
Bushwick North,1,200.8541645,113.2883812,234.5067864,200.8541645
Bushwick South,1,258.1991568,274.9847065,321.2226359,258.1991568
Cambria Heights,1,1000,997.3441957,1000,1000
Canarsie,1,991.7050009,890.5294171,1000,991.7050009
Carroll Gardens-Columbia Street-Red Hook,1,434.103513,354.9131519,326.8781423,434.103513
Central Harlem North-Polo Grounds,1,547.4898875,337.3764183,835.382682,547.4898875
Central Harlem South,1,321.6036211,218.209401,473.3118581,321.6036211
Charleston-Richmond Valley-Tottenville,1,966.3712488,898.8298556,987.5610737,966.3712488
Chinatown,1,128.5169327,94.24956243,191.1441191,128.5169327
Claremont-Bathgate,1,819.2404801,655.5937811,682.4441588,819.2404801
Clinton,1,265.8358229,194.6251927,310.0561169,265.8358229
Clinton Hill,1,350.0384919,251.2515884,346.8907576,350.0384919
Co-op City,1,1000,869.7647397,999.6888827,1000
College Point,1,982.9054778,705.0815638,1000,982.9054778
Corona,1,972.5403723,571.1777107,999.9199813,972.5403723
Crotona Park East,1,1000,607.1162668,954.6803128,1000
Crown Heights North,1,521.5925249,335.8454809,643.9500745,521.5925249
Crown Heights South,1,408.6584951,451.1106403,610.7618602,408.6584951
Cypress Hills-City Line,1,999.5305699,517.5082992,988.6399242,999.5305699
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1,196.6507536,185.5235105,319.5406382,196.6507536
Douglas Manor-Douglaston-Little Neck,1,1000,876.0691231,1000,1000
Dyker Heights,1,791.4969896,656.9171325,991.742178,791.4969896
East Concourse-Concourse Village,1,845.5960457,714.1852551,998.2979093,845.5960457
East Elmhurst,1,993.5323035,495.2819629,835.989233,993.5323035
East Flatbush-Farragut,1,1000,866.2679286,926.9320629,1000
East Flushing,1,999.8769505,660.5088514,814.165219,999.8769505
East Harlem North,1,483.2231428,276.2251093,713.7353207,483.2231428
East Harlem South,1,347.2201251,185.3653137,410.0310815,347.2201251
East New York,1,1000,678.8634763,1000,1000
East New York (Pennsylvania Ave),1,997.0812443,978.3556579,1000,997.0812443
East Tremont,1,849.286554,729.5414389,948.991864,849.286554
East Village,1,86.18165936,43.19843286,63.57389385,86.18165936
East Williamsburg,1,468.6259062,341.3750473,415.4562714,468.6259062
Eastchester-Edenwald-Baychester,1,1000,778.9285848,920.0318626,1000
Elmhurst,1,608.1853296,339.0597946,606.9796852,608.1853296
Elmhurst-Maspeth,1,811.8841556,405.7395729,762.5796241,811.8841556
Erasmus,1,952.4240296,461.0081191,720.6103028,952.4240296
Far Rockaway-Bayswater,1,1000,741.9346352,998.1360041,1000
Flatbush,1,656.2492273,577.4789353,857.1869211,656.2492273
Flatlands,1,862.9702422,824.4700789,1000,862.9702422
Flushing,1,587.8467722,331.5136525,815.9824598,587.8467722
Fordham South,1,940.0958817,537.8989699,963.9503083,940.0958817
Forest Hills,1,647.6230121,448.7893307,997.0789111,647.6230121
Fort Greene,1,355.6078013,236.0587289,388.6252403,355.6078013
Fresh Meadows-Utopia,1,590.9238925,415.3962005,1000,590.9238925
Ft. Totten-Bay Terrace-Clearview,1,1000,866.0406965,1000,1000
Georgetown-Marine Park-Bergen Beach-Mill Basin,1,960.8877376,743.9707046,1000,960.8877376
Glen Oaks-Floral Park-New Hyde Park,1,991.7049209,824.9676005,1000,991.7049209
Glendale,1,619.6257365,367.1394877,844.4098745,619.6257365
Gramercy,1,135.0723479,97.76001485,179.1436777,135.0723479
Grasmere-Arrochar-Ft. Wadsworth,1,1000,849.8129616,1000,1000
Gravesend,1,877.858514,379.5539711,1000,877.858514
Great Kills,1,1000,636.488498,1000,1000
Greenpoint,1,282.7955518,271.9030465,305.8006443,282.7955518
Grymes Hill-Clifton-Fox Hills,1,912.6168423,842.0617602,912.6168423,912.6168423
Hamilton Heights,1,383.3049424,262.0276221,940.5389481,383.3049424
Hammels-Arverne-Edgemere,1,804.6581802,627.5960841,897.2704105,804.6581802
Highbridge,1,995.3201876,852.6108072,1000,995.3201876
Hollis,1,998.2848702,757.709095,999.2307823,998.2848702
Homecrest,1,708.6218907,482.1031435,1000,708.6218907
Hudson Yards-Chelsea-Flatiron-Union Square,1,202.1056368,149.4268144,312.4141809,202.1056368
Hunters Point-Sunnyside-West Maspeth,1,475.3639896,411.4907966,546.5107365,475.3639896
Hunts Point,1,1000,991.4590621,998.3637282,1000
Jackson Heights,1,739.6238337,345.2532307,716.0084044,739.6238337
Jamaica,1,608.2141013,389.1170447,633.3198042,608.2141013
Jamaica Estates-Holliswood,1,888.8633875,446.5874547,776.900721,888.8633875
Kensington-Ocean Parkway,1,430.3178563,263.5732326,451.8260657,430.3178563
Kew Gardens,1,624.2979412,496.1545461,724.0827641,624.2979412
Kew Gardens Hills,1,1000,561.2229617,983.150033,1000
Kingsbridge Heights,1,927.9681539,779.8190264,987.7688698,927.9681539
Laurelton,1,945.2004481,516.7228151,958.003746,945.2004481
Lenox Hill-Roosevelt Island,1,398.7194747,341.7753165,573.4813112,398.7194747
Lincoln Square,1,273.972234,289.4794946,385.6759907,273.972234
Lindenwood-Howard Beach,1,1000,574.9220059,1000,1000
Longwood,1,1000,831.2331723,1000,1000
Lower East Side,1,421.8313946,321.9417789,548.606966,421.8313946
Madison,1,705.3277253,597.7639349,999.2086861,705.3277253
Manhattanville,1,443.4780688,241.3379785,588.9162034,443.4780688
Marble Hill-Inwood,1,470.7081638,443.9766385,471.2405876,470.7081638
Mariner's Harbor-Arlington-Port Ivory-Graniteville,1,1000,754.1575329,1000,1000
Maspeth,1,885.9111865,439.9799841,810.1608717,885.9111865
Melrose South-Mott Haven North,1,1000,448.2562471,1000,1000
Middle Village,1,930.7225513,672.916344,838.1467734,930.7225513
Midtown-Midtown South,1,108.1998802,74.29548985,246.2880809,108.1998802
Midwood,1,906.5966948,635.0769377,1000,906.5966948
Morningside Heights,1,232.0788616,229.1258929,455.5515458,232.0788616
Morrisania-Melrose,1,999.8748392,493.2901737,980.8821765,999.8748392
Mott Haven-Port Morris,1,999.6018012,541.555336,912.8596305,999.6018012
Mount Hope,1,981.2167685,709.0100583,953.0219753,981.2167685
Murray Hill,1,947.3704378,559.5278111,977.3962318,947.3704378
Murray Hill-Kips Bay,1,255.0601694,210.8665867,412.0908193,255.0601694
New Brighton-Silver Lake,1,983.7739643,873.1273539,998.7116307,983.7739643
New Dorp-Midland Beach,1,944.0131668,641.0503834,1000,944.0131668
New Springville-Bloomfield-Travis,1,988.7176643,910.1338297,1000,988.7176643
North Corona,1,1000,231.9717362,798.8662676,1000
North Riverdale-Fieldston-Riverdale,1,688.7515711,760.6736894,904.0699121,688.7515711
North Side-South Side,1,241.7228692,136.7547963,200.4684328,241.7228692
Norwood,1,623.3714238,619.4712839,1000,623.3714238
Oakland Gardens,1,885.271333,830.7784966,999.8920242,885.271333
Oakwood-Oakwood Beach,1,850.6916207,916.897128,1000,850.6916207
Ocean Hill,1,647.6167307,512.4466806,933.450219,647.6167307
Ocean Parkway South,1,917.9263465,766.7230112,1000,917.9263465
Old Astoria,1,336.861311,343.4512833,486.9051402,336.861311
Old Town-Dongan Hills-South Beach,1,1000,706.7280087,1000,1000
Ozone Park,1,1000,512.3910727,1000,1000
Park Slope-Gowanus,1,217.8636236,219.5231277,301.63184,217.8636236
Parkchester,1,417.2106506,472.1862926,999.8185874,417.2106506
Pelham Bay-Country Club-City Island,1,854.7685468,545.9223082,706.9010249,854.7685468
Pelham Parkway,1,957.5122936,726.6058618,931.8213417,957.5122936
